iter	Logloss
0	0.6897824672
1	0.686811751
2	0.6838100762
3	0.6809535872
4	0.6782691752
5	0.6754535866
6	0.6728134029
7	0.670503203
8	0.6681642255
9	0.665998533
10	0.66388552
11	0.6618028305
12	0.6598169905
13	0.6578534352
14	0.6556959884
15	0.6538163746
16	0.6520093609
17	0.6504207922
18	0.6489125806
19	0.6473168474
20	0.6456075063
21	0.6441873572
22	0.6427138169
23	0.6411990761
24	0.6398547497
25	0.6385751428
26	0.6372561928
27	0.6360553456
28	0.6349041139
29	0.6336258673
30	0.6321326185
31	0.6310312257
32	0.6301904892
33	0.6291102741
34	0.6277961335
35	0.6267472536
36	0.6256361289
37	0.6246459022
38	0.6237770126
39	0.6228370249
40	0.622080203
41	0.6209710142
42	0.6200251907
43	0.6191736294
44	0.6182743388
45	0.6173998745
46	0.6164734029
47	0.6157738034
48	0.6149508728
49	0.6142357319
50	0.6134379086
51	0.6126449856
52	0.611778513
53	0.6110697966
54	0.610312499
55	0.6095754886
56	0.608875673
57	0.608177149
58	0.6074966824
59	0.6067232953
60	0.6059191693
61	0.6052253065
62	0.6047427932
63	0.6041485802
64	0.6035139941
65	0.6029233871
66	0.6024729669
67	0.6020824721
68	0.6015889667
69	0.6010073798
70	0.6005114672
71	0.5998239948
72	0.5993733196
73	0.5988975059
74	0.5982915861
75	0.5976427322
76	0.5970399359
77	0.5964385122
78	0.5958328688
79	0.5951895972
80	0.5946410242
81	0.5942878762
82	0.5936392748
83	0.5932195392
84	0.5927197387
85	0.5923181181
86	0.5919421921
87	0.5915693377
88	0.5911616498
89	0.5906433564
90	0.5901339165
91	0.5897507634
92	0.5894050336
93	0.5889578392
94	0.5886007851
95	0.5881625886
96	0.587817903
97	0.5874020709
98	0.5870032174
99	0.5866221098
100	0.5861832711
101	0.5858413827
102	0.5853978635
103	0.5851637116
104	0.5847799733
105	0.5843449474
106	0.5839397231
107	0.5834682866
108	0.583173122
109	0.5828029661
110	0.5823963688
111	0.5819529593
112	0.5816303372
113	0.5813215101
114	0.580962008
115	0.5806739388
116	0.580395652
117	0.5800415447
118	0.5796468369
119	0.5793716059
120	0.5790349263
121	0.5786959937
122	0.5783761766
123	0.5779100606
124	0.5775326083
125	0.5772654151
126	0.5769919898
127	0.5767179989
128	0.57642961
129	0.5761475929
130	0.5758483901
131	0.5755578523
132	0.5752711564
133	0.5749779083
134	0.5747400545
135	0.5743462207
136	0.5740768728
137	0.5737732098
138	0.5733883906
139	0.5731036966
140	0.5728524844
141	0.5725357957
142	0.5723004072
143	0.5720569064
144	0.5717390578
145	0.5714146173
146	0.5711827215
147	0.5709578776
148	0.5708189464
149	0.5705051648
150	0.570256767
151	0.5699740096
152	0.5698608165
153	0.5696080008
154	0.5693347259
155	0.5691386388
156	0.5688375049
157	0.568515045
158	0.5683053179
159	0.5679118557
160	0.567752362
161	0.5676405801
162	0.5674583018
