iter	Passed	Remaining
0	3	562
1	5	474
2	11	594
3	13	546
4	17	539
5	19	519
6	23	515
7	27	535
8	30	521
9	36	559
10	38	532
11	44	559
12	47	548
13	51	547
14	57	566
15	61	560
16	64	557
17	67	547
18	74	567
19	77	553
20	80	545
21	83	532
22	89	547
23	94	544
24	97	539
25	101	534
26	106	536
27	108	523
28	111	515
29	114	506
30	119	508
31	122	503
32	126	499
33	131	498
34	144	527
35	148	522
36	155	528
37	160	529
38	164	523
39	168	518
40	172	512
41	176	507
42	184	515
43	187	507
44	190	499
45	196	500
46	199	492
47	203	487
48	206	481
49	214	485
50	217	478
51	222	475
52	229	476
53	232	468
54	235	462
55	248	475
56	251	468
57	254	459
58	256	451
59	261	448
60	263	440
61	265	432
62	267	425
63	269	417
64	271	409
65	277	407
66	279	400
67	281	393
68	283	386
69	287	381
70	293	379
71	296	375
72	299	369
73	301	362
74	305	358
75	312	357
76	315	352
77	317	346
78	324	345
79	327	339
80	331	335
81	337	333
82	341	328
83	344	324
84	348	319
85	353	316
86	357	312
87	360	306
88	362	301
89	364	295
90	370	293
91	373	287
92	375	282
93	377	276
94	379	271
95	385	268
96	388	264
97	390	259
98	393	254
99	398	250
100	402	247
101	404	242
102	408	237
103	414	234
104	417	230
105	421	226
106	428	224
107	432	220
108	435	215
109	482	232
110	487	228
111	490	223
112	495	219
113	497	214
114	500	208
115	503	203
116	509	200
117	514	196
118	516	191
119	519	186
120	529	183
121	533	179
122	538	175
123	543	170
124	546	166
125	548	161
126	550	156
127	556	152
128	558	147
129	561	142
130	563	137
131	566	132
132	571	128
133	574	124
134	576	119
135	579	115
136	582	110
137	589	106
138	591	102
139	593	97
140	595	92
141	597	88
142	603	84
143	606	80
144	608	75
145	610	71
146	612	66
147	620	62
148	624	58
149	626	54
150	629	49
151	634	45
152	637	41
153	639	37
154	643	33
155	648	29
156	650	24
157	653	20
158	656	16
159	659	12
160	666	8
161	670	4
162	674	0
